PID,Speed,MPE,Correct,RT,Effective_Duration_s
2,0.0,8,1,0.5447,1.8023
2,5.0,8,1,0.811,1.8105
2,0.0,8,1,0.9185,1.8054
2,5.0,4,0,0.8183,1.8089
2,5.0,4,0,0.6658,1.802
2,1.5,4,1,1.2213,1.8012
2,5.0,4,1,0.8672,1.8073
2,15.0,4,1,1.0998,0.6652
2,15.0,4,0,1.5621,0.6619
2,1.5,8,1,0.7843,1.8049
2,15.0,8,1,1.2577,0.6674
2,0.0,8,1,1.099,1.8039
2,1.5,2,1,0.8446,1.8046
2,0.0,2,1,0.9252,1.8047
2,15.0,8,0,1.4411,0.671
2,15.0,2,0,1.2374,0.668
2,1.5,2,0,0.8669,1.8041
2,1.5,8,1,0.9958,1.8006
2,0.0,2,1,0.7504,1.8045
2,15.0,4,1,0.9774,0.6551
2,5.0,8,1,0.7934,1.8061
2,0.0,8,1,0.7496,1.8002
2,15.0,2,0,0.7895,0.6588
2,0.0,2,1,0.7782,1.8032
2,5.0,8,1,0.8648,1.8008
2,0.0,4,1,0.7466,1.8055
2,5.0,4,0,0.6007,1.8019
2,1.5,8,1,1.1251,1.8066
2,15.0,8,1,1.2659,0.6627
2,0.0,4,1,0.8249,1.8044
2,5.0,4,1,0.897,1.8089
2,0.0,4,1,0.724,1.8045
2,5.0,2,1,0.7382,1.8069
2,15.0,4,1,1.0628,0.6679
2,15.0,8,1,1.2614,0.6609
2,5.0,2,1,0.7186,1.8035
2,1.5,8,1,1.0497,1.7953
2,5.0,2,1,1.0249,1.8005
2,15.0,2,1,1.0757,0.657
2,1.5,8,1,0.9115,1.8002
2,15.0,4,1,1.3099,0.6622
2,0.0,8,1,0.8865,1.8019
2,1.5,2,1,1.2603,1.8039
2,5.0,4,0,0.9177,1.8038
2,1.5,2,1,1.1099,1.8068
2,0.0,2,1,0.7667,1.8025
2,15.0,8,1,1.0213,0.6666
2,15.0,2,1,1.115,0.6582
2,5.0,8,1,0.5633,1.8054
2,5.0,2,0,0.7197,1.8088
2,0.0,2,1,0.8851,1.8008
2,15.0,4,1,0.8273,0.6634
2,15.0,4,0,1.0687,0.6728
2,0.0,2,1,0.8077,1.801
2,0.0,8,1,0.8351,1.8003
2,0.0,8,1,1.0666,1.8055
2,1.5,4,0,0.8942,1.7991
2,1.5,4,0,0.6497,1.8068
2,5.0,8,0,0.6048,1.8061
2,5.0,2,1,0.8164,1.7989
2,0.0,2,1,0.6924,1.8039
2,1.5,8,1,0.7693,1.8052
2,5.0,8,1,0.6043,1.8007
2,1.5,2,1,0.8585,1.8039
2,5.0,4,1,0.6831,1.7999
2,15.0,4,1,1.4122,0.6604
2,15.0,8,1,1.2826,0.6679
2,0.0,8,1,0.696,1.7986
2,5.0,2,1,0.4916,1.8001
3,1.5,4,1,0.9697,1.8106
3,1.5,8,1,0.8226,1.802
3,15.0,2,0,1.4441,0.6636
3,5.0,4,1,0.8348,1.8068
3,1.5,8,1,0.188,1.8005
3,15.0,8,1,1.1282,0.6672
3,15.0,4,1,1.2437,0.659
3,0.0,8,1,1.1064,1.8024
3,0.0,8,1,0.9083,1.8013
3,15.0,8,1,1.4867,0.6594
3,0.0,2,1,0.8912,1.8011
3,0.0,2,1,0.7732,1.8078
3,5.0,8,0,0.7008,1.804
3,5.0,8,1,0.7622,1.8049
3,5.0,8,1,0.728,1.8045
3,15.0,8,1,1.1166,0.6653
3,15.0,8,1,1.3299,0.6657
3,5.0,4,1,0.8076,1.8035
3,1.5,2,1,1.036,1.8034
3,15.0,2,1,0.9087,0.6556
3,1.5,8,0,0.9028,1.806
3,0.0,4,1,0.9085,1.8017
3,0.0,4,1,0.7072,1.8031
3,15.0,2,1,1.5753,0.6642
3,0.0,8,1,0.8107,1.8036
3,5.0,2,0,0.6453,1.8069
3,5.0,8,1,0.7092,1.8016
3,15.0,2,0,1.0579,0.6663
3,1.5,2,1,1.0698,1.8106
3,0.0,4,1,0.9525,1.8022
3,15.0,4,0,1.212,0.649
3,0.0,8,1,0.8046,1.8056
3,1.5,8,1,0.8182,1.8039
3,15.0,8,1,1.0038,0.6632
3,15.0,8,1,1.349,0.6612
3,5.0,8,1,0.6754,1.8052
3,15.0,4,1,1.0,0.6648
3,0.0,8,1,1.1852,1.7996
3,5.0,8,1,0.8257,1.8031
3,1.5,8,1,0.9046,1.8
3,5.0,4,0,0.853,1.8045
3,0.0,4,1,0.7608,1.8034
3,15.0,8,1,1.3989,0.6524
3,0.0,4,0,0.9802,1.8029
3,5.0,2,0,0.8052,1.8024
3,15.0,8,1,0.8738,0.6689
3,5.0,4,0,0.6601,1.805
3,1.5,8,1,0.5064,1.8003
3,1.5,8,1,1.0593,1.8026
3,1.5,4,1,0.9213,1.8041
3,5.0,4,1,0.8386,1.8043
3,1.5,8,1,0.8973,1.8052
3,15.0,2,1,0.9974,0.6627
3,0.0,4,1,0.9605,1.8023
3,0.0,2,0,0.7308,1.807
3,5.0,2,1,0.8646,1.8086
3,0.0,8,1,0.7934,1.8039
3,1.5,4,0,0.6932,1.8038
3,1.5,4,1,0.9066,1.8035
3,5.0,4,1,0.6937,1.8019
3,15.0,8,0,1.2383,0.6577
3,1.5,8,1,0.8215,1.8039
3,5.0,4,0,0.6665,1.8087
3,15.0,2,0,1.1197,0.6641
3,1.5,2,0,1.0557,1.8043
3,15.0,8,0,1.0868,0.6675
3,0.0,2,1,0.7117,1.8024
3,1.5,4,1,0.8482,1.8002
3,5.0,4,0,0.6489,1.8052
3,0.0,4,1,0.8929,1.8027
3,0.0,4,1,0.8874,1.8053
3,5.0,2,0,0.8309,1.8037
3,1.5,2,1,0.8435,1.8057
3,1.5,4,0,1.153,1.805
3,5.0,2,1,0.5559,1.8069
3,5.0,4,1,0.801,1.8107
3,15.0,4,1,1.1742,0.6579
3,5.0,2,0,0.8717,1.8083
3,15.0,2,1,0.9247,0.6597
3,5.0,8,1,0.8121,1.8012
3,15.0,4,0,1.0864,0.6567
3,15.0,4,0,1.2335,0.6643
3,1.5,2,0,1.0739,1.8044
3,1.5,4,0,0.7793,1.7998
3,0.0,2,0,0.7558,1.8014
3,15.0,8,1,0.7851,0.6582
3,1.5,2,1,0.9159,1.8026
3,5.0,8,1,0.7685,1.807
3,5.0,2,1,0.8306,1.8019
3,1.5,2,1,0.8237,1.8037
3,5.0,4,0,0.5245,1.8004
3,0.0,4,1,0.8865,1.8026
3,5.0,4,1,0.7012,1.7999
3,1.5,4,1,0.9627,1.8037
3,5.0,8,1,0.8834,1.8078
3,15.0,8,1,1.2992,0.6539
3,15.0,2,1,1.0556,0.66
3,5.0,2,0,0.7072,1.8045
3,0.0,2,1,0.9189,1.8043
3,1.5,2,1,0.7203,1.8071
3,0.0,8,1,1.059,1.8016
3,0.0,2,1,0.7439,1.8071
3,1.5,4,1,0.9167,1.8012
3,1.5,8,1,0.7959,1.8054
3,5.0,2,0,0.8447,1.8107
3,1.5,4,1,0.9458,1.8006
3,15.0,2,0,1.2212,0.6658
3,5.0,2,1,0.6147,1.8054
3,15.0,4,1,1.187,0.6582
3,1.5,2,1,0.9447,1.8049
3,0.0,8,1,0.8862,1.8006
3,5.0,4,1,0.888,1.8048
3,0.0,2,1,1.1528,1.8002
3,1.5,2,1,0.8904,1.8022
3,15.0,2,0,1.2124,0.6627
3,5.0,8,1,3.379,1.8044
3,1.5,8,1,4.333,1.8048
3,15.0,4,0,1.4134,0.6646
3,0.0,2,1,0.8467,1.7976
3,0.0,4,0,0.6612,1.801
3,0.0,8,1,0.8731,1.8057
3,15.0,8,1,1.6345,0.6663
3,1.5,4,1,0.9646,1.8078
3,0.0,2,0,1.0214,1.8008
3,1.5,4,1,0.8497,1.8042
3,1.5,2,0,0.9516,1.8063
3,5.0,4,1,0.8218,1.8015
3,5.0,8,1,0.7599,1.8014
3,15.0,2,0,1.0089,0.6623
3,1.5,2,1,1.2445,1.8025
3,0.0,2,1,0.6429,1.8041
3,1.5,2,0,0.6488,1.8013
3,0.0,4,1,0.6064,1.8045
3,5.0,2,0,0.5273,1.8092
3,5.0,2,1,0.7084,1.8037
3,5.0,2,0,0.7674,1.8033
3,5.0,4,1,0.658,1.8009
3,15.0,4,1,1.2876,0.6621
3,5.0,2,0,0.7669,1.8036
3,0.0,2,1,0.9935,1.8003
3,0.0,4,1,0.9204,1.801
3,15.0,8,0,4.375,0.6564
3,1.5,2,0,0.9882,1.8073
3,1.5,8,1,1.1497,1.8087
3,0.0,8,1,0.9827,1.8041
